id,day,word,meaning
473,5,lightweight,"a. 가벼운, 경량의"
474,5,remodeling,"n. 리모델링"
475,5,inn,"n. (작은) 호텔, 여관"
476,5,wing,"n. 부속 건물, 별관"
477,5,soundproof,"a. 방음 장치가 된"
478,5,out-of-date,"a. 구식의, 낡은"
479,5,surface,"n. 표면"
480,5,flooring,"n. 바닥재"
481,5,statue,"n. 조각상"
482,5,ballroom,"n. 연회장"
483,5,assorted,"a. 갖은, 갖가지의"
484,5,desperate,"a. 간절히 필요로 하는"
485,5,by any chance,"phr. 혹시라도"
486,5,in installments,"phr. 할부로"
487,5,determine the cause,"phr. 원인을 알아내다"
488,5,template,"n. 견본, 서식"
489,5,counselor,"n. 상담사"
490,5,errand,"n. 심부름"
491,5,just so you know,"phr. 참고로 말하자면"
492,5,navigate,"v. (웹사이트를) 돌아다니다"
493,5,centerpiece,"n. 중앙부 장식"
494,5,glitch,"n. 작은 문제, 결함"
495,5,wardrobe,"n. 의상, 옷장"
496,5,lumber,"n. 목재"
497,5,upholstery,"n. (소파 등의) 덮개"
498,5,ergonomic,"a. 인체 공학적인"
499,5,furnace,"n. 보일러, 용광로"
500,5,hinge,"n. 경첩"
501,5,eatery,"n. 식당"
502,5,diagnose,"v. 진단하다"
503,5,geometric,"a. 기하학적인"
504,5,redo,"v. 다시 하다, 개조하다"
505,5,housekeeping,"n. 시설 관리과"
506,5,janitor,"n. 수위, 관리인"
507,5,park ranger,"n. 공원 경비원"
508,5,perimeter,"n. 주변, 둘레"
509,5,pavilion,"n. 가설 건물, 부속 건물"
510,6,expand,"v. 확장되다, 확대하다"
511,6,annual,"a. 연례의"
512,6,promote,"v. 홍보하다, 승진시키다"
513,6,postpone,"v. 미루다, 연기하다"
514,6,deal,"v. 상대하다, n. 거래"
515,6,hands-on,"a. 직접 해보는"
516,6,in advance,"phr. 미리"
517,6,budget,"n. 예산, v. 예산을 세우다"
518,6,cut back,"phr. 줄이다, 삭감하다"
519,6,qualified,"a. 자격이 있는"
520,6,neighborhood,"n. 근처, 구역, 이웃"
521,6,away,"a. 자리에 없는"
522,6,correct,"v. 고치다, a. 정확한"
523,6,specialize,"v. 전문으로 하다"
524,6,inconvenience,"n. 불편, v. 불편하게 하다"
525,6,reasonable,"a. 합리적인, 적당한"
526,6,turn out,"phr. ~으로 판명되다"
527,6,advantage,"n. 이점, 혜택"
528,6,own,"v. 소유하다"
529,6,workload,"n. 업무량, 작업량"
530,6,overtime,"n. 초과 근무"
531,6,misplace,"v. 둔 곳을 잊어버리다"
532,6,application,"n. 지원서, 앱"
533,6,connect,"v. 연결하다"
534,6,policy,"n. 정책, 방침"
535,6,spreadsheet,"n. 데이터 문서"
536,6,hand out,"phr. 나누어주다"
537,6,accommodate,"v. 수용하다"
538,6,rent,"v. 임대하다, n. 임대료"
539,6,crowded,"a. 붐비는"
540,6,see if,"phr. ~인지 알아보다"
541,6,release,"v. 출시하다, n. 출시"
542,6,expense,"n. 비용, 경비"
543,6,set aside,"phr. 따로 챙겨 두다"
544,6,background,"n. 배경, 경력"
545,6,bring up,"phr. 화제를 꺼내다"
546,6,evaluation,"n. 평가"
547,6,floor plan,"phr. 평면도"
548,6,regional,"a. 지역의"
549,6,block,"v. 막다, 차단하다"
550,6,suspend,"v. 중단하다, 유보하다"
551,6,defect,"n. 결함"
552,6,injure,"v. 부상을 입히다"
553,6,public,"n. 대중, a. 공공의"
554,6,landscaping,"n. 조경"
555,6,fill out[in],"phr. 작성하다, 기입하다"
556,6,damaged,"a. 손상된"
557,6,in time,"phr. 시간 맞춰"
558,6,upset,"a. 언짢은"
559,6,customer service,"n. 고객 서비스(부)"
560,6,half-off,"a. 반값의, 50% 할인의"
561,6,appreciate,"v. 감사하다"
562,6,get the money back,"phr. 환불받다"
563,6,relationship,"n. 관계"
564,6,shame,"n. 애석한 일"
565,6,value,"n. 가치"
566,6,pay the difference,"phr. 차액을 지불하다"
567,6,carry,"v. (품목을) 취급하다"
568,6,space,"n. 공간, 자리"
569,6,kiosk,"n. 키오스크, 간이 매장"
570,6,cookware,"n. 취사도구"
571,6,checkout counter,"n. 계산대"
572,6,shape,"n. 모양, 형태"
573,6,grocery,"n. 식료품"
574,6,cosmetics,"n. 화장품"
575,6,go with,"phr. 고르다, 선택하다"
576,6,ground floor,"n. 1층"
577,6,leave for the day,"phr. 퇴근하다"
578,6,project,"n. 프로젝트, 과제"
579,6,broken,"a. 고장 난"
580,6,incorrect,"a. 부정확한"
581,6,printout,"n. 출력물"
582,6,calculate,"v. 계산하다"
583,6,assignment,"n. 임무, 배정"
584,6,overtime pay,"n. 초과 근무 수당"
585,6,tracking number,"n. 배송 조회 번호"
586,6,overbooked,"a. 초과 예약된"
587,6,tricky,"a. 까다로운"
588,6,confusion,"n. 혼란, 혼동"
589,6,resolution,"n. 해상도"
590,6,loyalty program,"n. 고객 보상 제도"
591,6,top-notch,"a. 최고의"
592,6,order-fulfillment,"n. 주문 이행"
593,6,interpreter,"n. 통역사"
594,6,hectic,"a. 정신없이 바쁜"
595,6,blurry,"a. 흐릿한"
596,6,distributor,"n. 유통업자"
597,6,detach,"v. 떼다, 분리시키다"
598,6,swipe,"v. (신용카드를) 긁다"
599,6,tailor,"n. 재단사"
600,6,a bunch of,"phr. 다수의"
601,6,fragrance,"n. 향수"
602,6,swamped,"a. 눈코 뜰 새 없이 바쁜"
603,6,log,"n. 일지, 기록"
604,6,extension,"n. 내선 번호"
605,6,profit margin,"n. 수익률"
606,6,performance evaluation,"n. 업무 평가"
607,6,circulate,"v. 회람을 돌리다"
608,6,by the end of the day,"phr. 퇴근 전까지"
